source;source_url;target_url;relation;target_id
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-ext-addiction-quantifier;extension;be-ext-addiction-quantifier
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/condition-clinical;Bound_Req;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/condition-ver-status;Bound_Req;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-addiction-category;Bound_Ext;be-vs-addiction-category
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/condition-severity;Bound_Pref;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/ValueSet/be-vs-addiction-code;Bound_Ext;be-vs-addiction-code
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/body-site;Bound_Exam;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-patient;references;be-patient
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/Encounter;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitioner;references;be-practitioner
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-practitionerrole;references;be-practitionerrole
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/RelatedPerson;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/condition-stage;Bound_Exam;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/ClinicalImpression;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/DiagnosticReport;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/Observation;references;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/condition-stage-type;Bound_Exam;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/ValueSet/manifestation-or-symptom;Bound_Exam;
be-addiction;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-addiction;http://hl7.org/fhir/StructureDefinition/Resource;references;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/StructureDefinition/language;extension;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/ValueSet/address-use;Bound_Req;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/ValueSet/address-type;Bound_Req;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-streetName;extension;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-houseNumber;extension;
be-address;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-address;http://hl7.org/fhir/StructureDefinition/iso21090-ADXP-postBox;extension;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-allergyintolerance;http://hl7.org/fhir/ValueSet/languages;Bound_Pref;
be-allergyintolerance;https://www.ehealth.fgov.be/standards/fhir/StructureDefinition/be-allergyintolerance;http://hl7.org/fhir/ValueSet/allergyintolerance-clinical;Bound_Req;
